corporate_name,corporate_name_corrected,new_name,new_variant
Zing Networks Inc.,Zing Networks,False,False
York Regional Police,York Regional Police,False,False
Xplornet Communications Inc.,Xplornet,False,False
WTC Communications The Westport Telephone Company Limi,WTC Communications,False,False
WTC COMMUNICATIONS,WTC Communications,False,False
Wire IE ( Canada) Inc.,Wire IE ( Canada),False,False
Wink High Speed Wireless Systems,Wink High Speed Wireless Systems,False,False
WIND Mobile Corp.,WIND,False,False
WIGHTMAN TELECOM LTD,WIGHTMAN TELECOM,False,False
WiBand Communications Corp.,WiBand Communications Corp.,False,False
Wiband Communications (WISP),Wiband Communications (WISP),False,False
Whole Solutions Group Inc.,Whole Solutions Group,False,False
WHEATLAND COUNTY,WHEATLAND COUNTY,False,False
Westcoast Energy Inc.,Westcoast Energy,False,False
Waterside Wireless Inc,Waterside Wireless,False,False
Voyageur Internet Inc.,Voyageur Internet,False,False
VOOM INTERNET,Voom Internet,False,False
Vincent Communication and Controls,Vent Communication and Controls,False,False
VILLE DE SAGUENAY,VILLE DE SAGUENAY,False,False
VILLE DE QUÉBEC (SERVICE DE POLICE),VILLE DE QUÉBEC (SERVICE DE POLICE),False,False
Ville de Québec - Service de Police (Arrond. Sainte-Foy-Silly-Cap-Rouge),Ville de Québec - Service de Police (Arrond. Sainte-Foy-Silly-Cap-Rouge),False,False
Ville de Québec - Service de Police,VILLE DE QUÉBEC (SERVICE DE POLICE),False,False
Ville de Gatineau,Ville de Gatineau,False,False
Ville de Contrecoeur,Ville de Contrecoeur,False,False
Ville Alma,Ville Alma,False,False
Vidéotron s.e.n.c. / Videotron G.P.,Vidéotron,False,False
Vidéotron s.e.n.c.,Vidéotron,False,False
Vidéotron S.E.N.C.,Vidéotron,False,False
Vidéotron ltée,Vidéotron,False,False
Vidéotron Ltée,Vidéotron,False,False
VIDÉOTRON ITÉE,Vidéotron,False,False
Vid<e9>otron S.E.N.C.,Vidéotron,False,False
Vid\xe9otron S.E.N.C.,Vidéotron,False,False
Vianet Inc.,Vianet,False,False
Velocity Networks Inc.,Velocity Networks,False,False
Vecima Networks Inc.,Vecima,False,False
Valley Internet Service Provider Ltd,Valley Internet Service Provider,False,False
Twin Island Communications Limited,Twin Island Communications,False,False
Tundra Energy Marketing Limited,Tundra Energy,False,False
Tuckersmith Communications Cooperative Limited,Tuckersmith Communications,False,False
TUCKERSMITH COMMUNICATIONS CO-OPERATIVE LTD,Tuckersmith Communications,False,False
TRUNORTH COMMUNICATIONS LIMITED,TRUNORTH COMMUNICATIONS,False,False
Truespeed Internet Services,Truespeed Internet Services,False,False
Tridon Communications Greg Tolson,Tridon Communications Greg Tolson,False,False
Township of Bonnechere Valley,Township of Bonnechere Valley,False,False
Tough Country Communications Ltd,Tough Country Communications,False,False
Total North Communications Ltd.,Total North Communications,False,False
Toronto Fire Services,Toronto Fire Services,False,False
TMN Consulting and Project Management Ltd.,TMN Consulting and Project Management,False,False
TMN Consulting  - do not use/ cancelled account,TMN Consulting and Project Management,False,False
Thomas Communications Ltd,Thomas Communications,False,False
THE S. M. GROUP INTERNATIONAL INC. MONSIEUR SYLVAIN PRIVÉ,THE S. M. GROUP INTERNATIONAL,False,False
The Regional Municipality of Niagara Police Services Board,The Regional Municipality of Niagara Police Services Board,False,False
The Railway Association of Canada,RAC,False,False
THE COUNTY OF BRANT,THE COUNTY OF BRANT,False,False
"The Corporation of the Town of New Tecumseth, Fire Department","The Corporation of the Town of New Tecumseth, Fire Department",False,False
The Corporation of the County of Middlesex,County of Middlesex,False,False
THE CORPORATION OF THE CITY OF OTTAWA,THE CORPORATION OF THE CITY OF OTTAWA,False,False
THE CORPORATION OF THE CITY OF BELLEVILLE - POLICE SERVICES,THE CORPORATION OF THE CITY OF BELLEVILLE - POLICE SERVICES,False,False
The Corporation of the City of Barrie,The Corporation of the City of Barrie,False,False
The Corporation of Loyalist Township P.O. Box 70,The Corporation of Loyalist Township,False,False
The Corporation of Delta,The Corporation of Delta,False,False
TERRESTAR SOLUTIONS INC.,TerreStar Solutions,False,False
TerreStar Solutions Inc.,TerreStar Solutions,False,False
TERAGO NETWORKS INC.,Terago,False,False
TeraGo Networks Inc.,Terago,False,False
Terago Networks Inc.,Terago,False,False
TELUS COMMUNICATIONS INC.,TELUS,False,False
TELUS Communications Inc.,TELUS,False,False
TELUS Communications Company Ted Woodhead SVP - Reg. Affairs,TELUS,False,False
TELUS Communications Company,TELUS,False,False
TELUS – Regulatory Affairs,TELUS,False,False
Teliphone Navigata-WesTel Communications Inc,TNW,False,False
Télédistribution Amos Inc.,Télédistribution Amos,False,False
TEKSAVVY SOLUTIONS INC.,TEKSAVVY SOLUTIONS,False,False
Team Lead Telecom:Suncor Energy Inc,Suncor Energy,False,False
TBayTel - Mobility,Tbaytel,False,False
Tbaytel - FWA,Tbaytel,False,False
Tbaytel - Accounts Payable,Tbaytel,False,False
Tbaytel,Tbaytel,False,False
Targo Communications Inc,Targo Communications,False,False
Talk Wireless Inc.,Talk Wireless,False,False
T. Grand Networks Inc.,T. Grand Networks,False,False
Syncrude Canada Ltd.,Syncrude Canada,False,False
Symbiotic Networks,Symbiotic Networks,False,False
SYBAN SYSTEMS LTD,SYBAN SYSTEMS,False,False
Switch Inc. Hassan Hamid or Alan Greene,Switch  Hassan Hamid or Alan Greene,False,False
Strathcona County,Strathcona County,False,False
Storm Internet Services,Storm Internet Services,False,False
Stanmac Broadmac Inc.,Stanmac Broadmac Inc.,False,False
Stafford Communications Inc.,Stafford Communications,False,False
SSI Micro Ltd.,SSI Micro,False,False
SPYR Network Ltd,SPYR Network,False,False
Spliced Networks Inc.,Spliced Networks,False,False
SPECTRUM TELECOM GROUP LTD,SPECTRUM TELECOM GROUP,False,False
Spectrum Communications Ltd.,Spectrum Communications,False,False
South Kountry Cable Ltd.,South Kountry Cable,False,False
Solutions Sans Fil WiMe Inc.,Solutions Sans Fil WiMe,False,False
SOGETEL MOBILITE INC,Sogetel,False,False
Sogetel Inc.,Sogetel,False,False
Sniper Communications,Sniper Communications,False,False
Slave Lake Communications Ltd.,Slave Lake Communications,False,False
Skysurf Canada Communications Inc. First Canadian Place,Skysurf Canada,False,False
Skysurf Canada Communications Inc.,Skysurf Canada,False,False
Silo Wireless Inc.,Silo Wireless,False,False
Signal Direct Communications Ltd.,Signal Direct Communications,False,False
